0	0
24.7	0.1
32.6	0.2
38.1	0.3
43.1	0.4
48.2	0.5
53.9	0.6
60.7	0.7
68.8	0.8
79.3	0.9
93.7	1.0
115	1.1
156	1.2
260	1.3
690	1.4
1950	1.5
4410	1.6
7630	1.7
12000	1.8

